frame,class,conf,x1,y1,x2,y2
233,0,0.1060,1012,414,1030,433
234,0,0.8960,1867,631,1906,667
234,0,0.2744,1014,415,1031,433
235,0,0.8989,1867,630,1906,667
235,0,0.2991,1015,415,1033,433
236,0,0.8975,1867,630,1906,667
236,0,0.4543,1016,415,1034,433
237,0,0.8965,1867,630,1906,666
237,0,0.5488,712,661,741,688
237,0,0.2108,1015,415,1033,433
238,0,0.8960,1867,630,1906,667
238,0,0.2357,711,660,743,689
238,0,0.1381,1017,415,1033,433
239,0,0.8984,1867,631,1906,667
239,0,0.1608,1017,415,1033,433
240,0,0.8960,1867,631,1906,667
240,0,0.1366,1017,416,1034,434
241,0,0.8965,1867,630,1906,667
241,0,0.7188,681,429,698,446
241,0,0.3374,1015,415,1033,433
242,0,0.8945,1867,630,1906,667
242,0,0.7954,675,426,693,444
242,0,0.5010,1014,415,1034,433
243,0,0.8989,1867,630,1906,666
243,0,0.7339,670,423,688,440
243,0,0.4697,1015,415,1033,433
244,0,0.8984,1867,631,1906,667
244,0,0.4224,1015,414,1033,434
245,0,0.8984,1867,630,1906,667
245,0,0.4429,1015,415,1033,433
246,0,0.9004,1867,629,1906,666
246,0,0.4062,1015,415,1033,433
246,0,0.1587,655,414,679,438
246,0,0.1404,993,398,1012,414
247,0,0.8999,1867,630,1906,667
247,0,0.3276,1015,415,1033,433
247,0,0.3252,992,399,1011,416
247,0,0.1456,656,415,678,436
248,0,0.9014,1867,630,1906,667
248,0,0.3857,1015,415,1033,433
248,0,0.2114,991,399,1011,416
249,0,0.8999,1867,630,1906,667
249,0,0.5522,1016,415,1035,436
249,0,0.1063,991,399,1012,416
250,0,0.8999,1867,630,1906,667
250,0,0.5698,1014,414,1034,435
251,0,0.9014,1867,631,1906,667
251,0,0.4736,1012,414,1033,435
252,0,0.9004,1867,630,1906,667
252,0,0.4204,1012,414,1033,434
253,0,0.8999,1867,631,1906,667
253,0,0.4109,1011,414,1032,434
254,0,0.8989,1867,629,1906,666
254,0,0.4922,1010,414,1032,435
255,0,0.8999,1867,629,1906,666
255,0,0.3596,1009,414,1033,434
256,0,0.9004,1867,631,1906,667
256,0,0.2727,1011,414,1032,434
257,0,0.8984,1867,630,1906,667
257,0,0.2659,1011,415,1031,433
258,0,0.8989,1867,630,1906,667
258,0,0.2095,1011,415,1031,433
259,0,0.9014,1867,630,1906,667
259,0,0.1813,1011,415,1031,433
260,0,0.9004,1867,630,1906,667
260,0,0.1067,1008,414,1031,435
261,0,0.9004,1867,630,1906,667
262,0,0.8989,1867,630,1906,667
263,0,0.8984,1867,630,1906,667
264,0,0.8984,1867,630,1906,667
265,0,0.8989,1867,630,1906,667
265,0,0.1281,606,406,625,427
266,0,0.8984,1867,630,1906,667
267,0,0.8984,1867,630,1906,667
268,0,0.8984,1867,630,1906,667
268,0,0.1260,603,405,623,426
269,0,0.8984,1867,630,1906,667
269,0,0.1412,602,405,624,425
270,0,0.8965,1867,630,1906,667
270,0,0.1432,603,405,624,425
271,0,0.8975,1867,630,1906,667
271,0,0.2126,603,405,624,426
272,0,0.8999,1867,630,1906,667
272,0,0.6245,631,403,649,418
273,0,0.8999,1867,629,1906,666
273,0,0.1938,629,396,649,414
274,0,0.8975,1867,630,1906,667
274,0,0.4045,630,393,650,410
275,0,0.9004,1867,629,1906,666
275,0,0.2524,627,393,648,410
276,0,0.8989,1867,629,1906,666
276,0,0.4224,631,393,651,410
277,0,0.8999,1867,630,1906,666
277,0,0.3667,630,398,651,417
278,0,0.8999,1867,629,1906,666
279,0,0.8999,1867,630,1906,667
280,0,0.8999,1867,630,1906,667
281,0,0.8989,1867,630,1906,667
282,0,0.8965,1867,631,1906,667
283,0,0.8960,1867,631,1906,667
284,0,0.8965,1867,630,1906,667
285,0,0.8960,1867,631,1906,667
286,0,0.8960,1867,631,1906,667
287,0,0.8936,1867,630,1906,667
288,0,0.8926,1867,630,1906,667
289,0,0.8936,1867,630,1906,667
290,0,0.8887,1867,630,1906,667
291,0,0.8911,1867,630,1906,667
